task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
8	54/244723	15645	trim_galore (SRR4238359_subsamp)	CACHED	0	2017-07-05 16:36:17.003	22.5s	20.5s	117.6%	147.4 MB	2.5 GB	0	0
3	8d/3c5265	15728	fastqc (SRR4238355_subsamp)	CACHED	0	2017-07-05 16:37:08.142	8.5s	6.8s	151.0%	176.9 MB	2.5 GB	0	0
9	22/f675c8	15747	trim_galore (SRR4238379_subsamp)	CACHED	0	2017-07-05 16:37:16.598	18.2s	16.6s	149.7%	189 MB	2.5 GB	0	0
2	06/475b24	15821	fastqc (SRR4238351_subsamp)	CACHED	0	2017-07-05 16:38:02.453	8.4s	6.8s	125.0%	180.8 MB	2.5 GB	0	0
6	9f/baa23f	15687	trim_galore (SRR4238351_subsamp)	CACHED	0	2017-07-05 16:36:48.796	17.5s	15.8s	5.0%	44 MB	2.3 GB	0	0
5	1b/d966b8	15668	fastqc (SRR4238379_subsamp)	CACHED	0	2017-07-05 16:36:39.481	9.3s	7.7s	143.0%	174.3 MB	2.5 GB	0	0
1	95/0ed09c	15711	makeHisatSplicesites (genes.gtf)	CACHED	0	2017-07-05 16:37:06.288	1.9s	343ms	0.0%	13.7 MB	46.8 MB	0	0
7	48/a1729f	15790	trim_galore (SRR4238355_subsamp)	CACHED	0	2017-07-05 16:37:44.587	17.9s	16.4s	160.8%	189.9 MB	2.5 GB	0	0
4	47/8aa3ac	15764	fastqc (SRR4238359_subsamp)	CACHED	0	2017-07-05 16:37:34.811	9.8s	8s	130.0%	171 MB	2.5 GB	0	0
11	36/7f5ec4	40157	hisat2Align (SRR4238359_subsamp)	COMPLETED	0	2017-09-05 10:31:28.296	5.3s	3.8s	136.0%	54.3 MB	306.4 MB	0	0
12	90/430e16	40192	hisat2Align (SRR4238379_subsamp)	COMPLETED	0	2017-09-05 10:31:33.625	4.7s	3.2s	123.0%	54.2 MB	306.3 MB	0	0
13	21/42183d	40228	hisat2Align (SRR4238355_subsamp)	COMPLETED	0	2017-09-05 10:31:38.288	4.6s	3.1s	113.0%	54 MB	306.4 MB	0	0
10	54/16af6b	40265	hisat2Align (SRR4238351_subsamp)	COMPLETED	0	2017-09-05 10:31:42.893	4.1s	2.6s	149.0%	54 MB	306.3 MB	0	0
14	61/23602c	40301	hisat2_sortOutput (SRR4238359_subsamp)	COMPLETED	0	2017-09-05 10:31:47.023	2.7s	1.1s	0.0%	61.2 MB	176.2 MB	0	0
15	3e/587e3b	40319	hisat2_sortOutput (SRR4238379_subsamp)	COMPLETED	0	2017-09-05 10:31:49.689	2.8s	1.2s	0.0%	61.5 MB	176.2 MB	0	0
16	33/c80448	40336	hisat2_sortOutput (SRR4238355_subsamp)	COMPLETED	0	2017-09-05 10:31:52.529	2.6s	1.1s	61.0%	61.5 MB	176.3 MB	0	0
17	a7/260d28	40354	hisat2_sortOutput (SRR4238351_subsamp)	COMPLETED	0	2017-09-05 10:31:55.143	2.5s	934ms	64.0%	61.1 MB	176 MB	0	0
20	51/f2ec0d	40371	featureCounts (SRR4238359_subsamp)	COMPLETED	0	2017-09-05 10:31:57.662	2.6s	893ms	0.0%	11 MB	114.7 MB	0	0
18	b2/76a5a4	40391	stringtieFPKM (SRR4238359_subsamp)	COMPLETED	0	2017-09-05 10:32:00.272	6.3s	4.6s	34.0%	12 MB	111.6 MB	0	0
19	cf/8ea775	40411	rseqc (SRR4238359_subsamp)	COMPLETED	0	2017-09-05 10:32:06.555	7.9s	6.3s	0.0%	34.8 MB	211.3 MB	0	0
21	6a/467101	40432	genebody_coverage (SRR4238359_subsamp)	COMPLETED	0	2017-09-05 10:32:14.448	1m	58.8s	52.5%	59.3 MB	231.2 MB	0	0
